p,   samplecov_acc, glasso_acc, glasso_truepos, glasso_falsepos, glasso_omegatime
100, 0.539900,      0.964560,   9.62,           3.79,             125.9692333   
200, 0.524600,      0.955080,   9.46,           4.54,             303.6622     
300, 0.515900,      0.887500,   7.97,           6.29,             353.5964833     
400, 0.512700,      0.844320,   6.99,           7.7,              415.29892       
