"p","sep","n_reps","mean_acc_witten","sd_acc_witten","mean_acc_arias","sd_acc_arias","mean_acc_ifpca","sd_acc_ifpca","mean_L_ifpca"
1000,4,100,0.53005,0.0439610422115222,0.8814,0.0275798198806023,0.53565,0.0315160292709932,400.81
2000,4,100,0.5278,0.0206988995950134,0.8848,0.0263707061227822,0.5315,0.031111562045794,795.31
3000,4,100,0.5277,0.0213368841741859,0.8837,0.0272068396035284,0.5342,0.0274572210884312,1160.44
4000,4,100,0.52725,0.0214190394865235,0.87945,0.028726285784095,0.5311,0.0212557775865312,1600.12
5000,4,100,0.52495,0.021195280111145,0.8788,0.0308066633222507,0.52955,0.0228863573671162,1941.56
