"sep","pval","n_runs","mean_acc","sd_acc","mean_L","sd_L","mean_rt"
6,0.01,20,0.8325,0.117467800739293,25.25,10.5475115548645,12902.3303701043
6,0.005,20,0.84825,0.113465448021575,19.4,6.45143802819022,13580.5399633765
6,0.001,20,0.87375,0.0786543905824382,13,3.06078765232604,12860.652983284
