398,454,412,414,502,410
430,436,436,488,488,490
480,502,548,490,538,498
436,456,464,450,452,456
428,446,418,516,474,404
478,480,504,482,500,536
440,484,526,490,488,530
444,414,418,424,468,432
496,444,474,510,500,452
470,428,476,426,426,516
484,540,540,498,488,444
442,452,448,448,452,452
466,472,484,482,464,458
432,428,476,436,484,432
454,490,430,476,484,476
410,476,480,376,436,478
450,460,514,498,446,502
510,522,520,520,522,534
456,472,532,476,462,478
460,472,468,466,462,420
494,446,498,496,500,454
448,472,514,528,490,482
422,428,384,386,388,396
462,458,474,482,428,474
510,512,528,510,530,506
396,462,482,522,468,472
402,402,408,420,390,428
464,494,478,526,506,518
428,426,428,434,424,434
446,510,512,500,462,506
478,436,432,430,494,438
490,454,432,442,406,442
500,430,466,438,426,434
514,454,444,488,454,446
412,412,414,418,414,408
398,408,474,404,398,400
486,494,498,494,490,446
502,524,476,508,514,470
442,452,508,440,462,496
476,470,474,472,480,472
502,494,534,544,550,550
408,452,490,512,436,506
430,442,434,448,442,448
478,440,490,472,432,476
432,488,500,490,498,442
458,502,454,506,452,502
446,488,546,556,464,456
490,416,422,416,474,418
442,440,460,466,466,460
450,528,484,486,544,502
464,444,476,456,444,446
436,448,500,508,488,498
464,446,444,460,448,460
404,426,454,430,482,464
402,492,498,490,502,434
452,472,462,426,526,472
488,488,504,506,496,482
434,430,430,432,430,478
494,486,498,490,498,488
444,458,450,454,450,456
414,494,484,480,492,498
402,460,462,456,464,452
424,490,504,492,500,496
402,400,402,396,416,404
444,480,438,446,386,442
468,426,428,414,472,512
480,494,502,488,510,494
432,434,438,446,450,426
434,490,440,440,470,480
400,458,456,458,406,410
430,438,440,432,440,440
426,490,442,470,426,428
524,500,450,442,446,444
504,474,470,466,480,474
466,466,470,460,472,454
400,410,420,430,440,428
368,428,490,442,434,426
414,446,470,458,514,454
450,452,420,458,508,456
468,502,448,502,500,500
466,490,488,486,518,434
414,428,422,424,462,418
460,464,482,438,446,442
452,444,466,514,452,460
452,504,504,416,474,456
420,430,444,438,444,434
414,412,418,420,480,394
462,454,458,454,462,456
440,438,486,490,474,432
526,488,484,440,482,490
454,460,470,448,468,444
462,424,426,418,426,422
450,458,424,496,466,458
422,412,498,440,488,488
406,378,434,426,438,434
420,440,424,444,452,492
372,428,416,414,422,488
452,442,462,462,452,452
436,506,436,534,528,548
466,494,540,542,458,518
