10,11,13,13,15,9
10,5,5,10,6,2
12,18,18,15,12,17
12,7,8,5,10,6
15,16,16,14,15,12
6,10,14,12,13,15
12,7,5,5,4,0
14,15,21,15,15,24
9,6,6,4,6,7
13,7,11,8,12,8
7,6,4,2,2,2
10,10,14,12,15,18
12,5,5,6,10,9
11,10,15,12,11,10
15,13,13,13,14,7
4,7,8,9,9,6
14,12,15,10,15,11
17,11,12,14,12,16
3,5,11,6,4,6
10,6,4,4,9,8
7,9,12,13,14,19
12,21,14,10,7,10
7,8,10,9,9,11
15,14,14,6,5,4
8,14,15,12,16,14
16,16,22,12,15,9
13,12,10,9,11,9
17,13,8,8,9,11
15,18,16,12,14,12
12,13,11,11,12,11
8,4,8,5,9,7
14,17,17,12,12,13
11,9,13,8,8,8
13,6,7,9,8,9
9,8,10,7,6,5
7,6,4,3,4,5
10,11,8,4,6,6
10,8,6,11,13,10
14,14,9,9,7,7
10,16,16,12,15,11
11,12,11,4,5,5
12,12,12,13,11,10
9,13,14,15,15,8
9,8,11,9,7,9
17,14,13,15,11,15
14,5,4,2,6,8
14,17,17,13,13,18
14,19,17,14,15,15
13,12,10,7,5,7
14,15,15,15,14,11
6,4,2,5,4,3
7,4,5,8,5,7
12,11,5,5,4,4
10,17,13,14,13,12
8,7,3,4,9,6
10,4,5,7,3,4
8,10,9,4,5,6
10,13,12,13,20,19
15,16,12,12,10,11
6,11,11,12,8,7
13,11,12,9,5,9
10,11,13,12,13,10
10,14,13,20,12,14
12,7,7,6,6,7
14,19,15,6,7,6
7,7,5,6,9,8
11,4,6,5,4,4
11,11,12,10,14,12
13,15,16,16,15,15
9,3,5,4,6,5
10,11,6,3,6,7
9,6,9,11,11,8
6,1,1,2,5,3
11,12,16,17,20,18
8,11,12,13,7,6
16,14,11,11,14,15
9,7,10,5,8,6
8,4,6,4,5,6
13,6,10,10,9,11
8,11,12,13,13,13
13,14,13,14,13,7
12,9,8,9,5,4
8,7,4,5,8,7
7,11,4,3,4,5
12,11,12,9,6,9
9,9,7,9,7,5
9,6,6,5,6,3
8,4,4,5,5,4
6,6,9,3,4,3
13,6,10,9,9,5
8,10,3,6,4,8
9,10,3,7,5,5
10,14,9,10,12,10
12,13,13,13,13,12
8,11,9,8,13,8
10,6,9,7,11,9
15,16,16,13,13,13
10,11,14,12,10,11
12,14,7,12,13,13
7,4,7,8,12,7
