"p","sep","n_runs","mean_acc_witten","sd_acc_witten","mean_rt_witten","mean_acc_arias","sd_acc_arias","mean_rt_arias","mean_acc_ifpca","sd_acc_ifpca","mean_rt_ifpca","mean_L_ifpca"
50,4,100,0.9717,0.0129922276688018,1.60044370651245,0.9751,0.0111005505368978,1.53045192241669,0.79115,0.135299620744987,0.149998943805695,15.64
100,4,45,0.974111111111111,0.0111950115153261,2.7770662466685,0.977111111111111,0.00991376963030857,2.55323034922282,0.722333333333333,0.158245350355361,0.152028777864244,26.8
