"p","sep","n_runs","mean_acc_witten","sd_acc_witten","mean_rt_witten","mean_acc_arias","sd_acc_arias","mean_rt_arias","mean_acc_ifpca","sd_acc_ifpca","mean_rt_ifpca","mean_L_ifpca"
10,4,2,0.9775,0.00353553390593274,0.25005304813385,NA,NA,0.247606515884399,0.91,0.0212132034355964,0.0507575273513794,4.5
20,4,2,0.9775,0.0106066017177982,0.356018900871277,NA,NA,0.287178039550781,0.56,0.0424264068711928,0.0437570810317993,9
60,4,2,0.9675,0.0106066017177982,0.705232620239258,0.9725,0.0106066017177982,0.594976425170898,0.5175,0.0106066017177982,0.0474740266799927,17
70,4,2,0.9625,0.0106066017177982,0.759994864463806,0.96,0.014142135623731,0.62952196598053,0.5575,0.0247487373415291,0.0459444522857666,29
3000,4,100,0.59905,0.158911535964593,86.2236621069908,0.9611,0.0144875425414005,107.553408212662,0.52205,0.0196059025332019,0.95548032283783,1240.56
6000,4,100,0.56375,0.100795760593069,187.974836504459,0.9502,0.0200242277496461,229.222498884201,0.52795,0.019657355268744,1.68903268814087,2389.53
9000,4,99,0.55020202020202,0.0908096214220493,334.311393605338,0.942448979591837,0.0276226869438796,628.205596589079,0.531565656565657,0.0220464082021436,3.18786379544422,3593.9494949495
12000,4,27,0.5306,0.0253853632368471,680.272976804663,0.935416666666667,0.036522616488301,665.829571626805,0.525740740740741,0.016739158586961,10.0808683942865,4641.33333333333
