"p","sep","n_reps","mean_acc_witten","sd_acc_witten","mean_acc_arias","sd_acc_arias","mean_acc_ifpca","sd_acc_ifpca","mean_L_ifpca"
1000,6,100,0.6956,0.0420093784622896,0.7182,0.0411729537586523,0.70025,0.0428196535164955,201.83
2000,6,100,0.9241,0.0200426313319152,0.91895,0.0185496195065663,0.9097,0.0236004194449971,365.38
3000,6,100,0.56885,0.0383027216376132,0.5825,0.0506896877524852,0.5756,0.0410424761495313,545.27
4000,6,100,0.78245,0.0401794899686571,0.78945,0.0314055824028246,0.7655,0.0325165070744573,710.31
5000,6,100,0.9044,0.0390045322411837,0.8877,0.0247249516141737,0.856,0.0296273147243853,926.21
