Rep 46, sep = 2: Witten [feat = 76, acc = 0.500], Arias [feat = 124, acc = 0.520], IF-PCA [feat = 62, acc = 0.625]
Rep 47, sep = 2: Witten [feat = 81, acc = 0.540], Arias [feat = 112, acc = 0.540], IF-PCA [feat = 100, acc = 0.585]
Rep 48, sep = 2: Witten [feat = 83, acc = 0.535], Arias [feat = 100, acc = 0.540], IF-PCA [feat = 44, acc = 0.590]
Rep 49, sep = 2: Witten [feat = 73, acc = 0.560], Arias [feat = 88, acc = 0.550], IF-PCA [feat = 36, acc = 0.565]
Rep 50, sep = 2: Witten [feat = 72, acc = 0.515], Arias [feat = 100, acc = 0.530], IF-PCA [feat = 18, acc = 0.545]
Rep 51, sep = 2: Witten [feat = 77, acc = 0.535], Arias [feat = 104, acc = 0.535], IF-PCA [feat = 10, acc = 0.645]
Rep 52, sep = 2: Witten [feat = 71, acc = 0.525], Arias [feat = 120, acc = 0.525], IF-PCA [feat = 10, acc = 0.630]
Rep 54, sep = 2: Witten [feat = 69, acc = 0.525], Arias [feat = 136, acc = 0.520], IF-PCA [feat = 27, acc = 0.745]
Rep 53, sep = 2: Witten [feat = 73, acc = 0.550], Arias [feat = 104, acc = 0.555], IF-PCA [feat = 25, acc = 0.600]
Rep 55, sep = 2: Witten [feat = 68, acc = 0.535], Arias [feat = 128, acc = 0.545], IF-PCA [feat = 93, acc = 0.720]
Rep 56, sep = 2: Witten [feat = 72, acc = 0.520], Arias [feat = 88, acc = 0.525], IF-PCA [feat = 15, acc = 0.520]
Rep 59, sep = 2: Witten [feat = 80, acc = 0.545], Arias [feat = 128, acc = 0.560], IF-PCA [feat = 10, acc = 0.575]
Rep 57, sep = 2: Witten [feat = 73, acc = 0.500], Arias [feat = 112, acc = 0.500], IF-PCA [feat = 12, acc = 0.610]
Rep 58, sep = 2: Witten [feat = 82, acc = 0.545], Arias [feat = 92, acc = 0.550], IF-PCA [feat = 29, acc = 0.560]
Rep 60, sep = 2: Witten [feat = 78, acc = 0.520], Arias [feat = 92, acc = 0.510], IF-PCA [feat = 36, acc = 0.645]
Rep 61, sep = 2: Witten [feat = 78, acc = 0.525], Arias [feat = 88, acc = 0.530], IF-PCA [feat = 99, acc = 0.685]
Rep 64, sep = 2: Witten [feat = 84, acc = 0.540], Arias [feat = 112, acc = 0.510], IF-PCA [feat = 63, acc = 0.530]
Rep 63, sep = 2: Witten [feat = 74, acc = 0.510], Arias [feat = 104, acc = 0.505], IF-PCA [feat = 99, acc = 0.680]
Rep 62, sep = 2: Witten [feat = 78, acc = 0.500], Arias [feat = 140, acc = 0.500], IF-PCA [feat = 56, acc = 0.625]
Rep 65, sep = 2: Witten [feat = 75, acc = 0.545], Arias [feat = 72, acc = 0.550], IF-PCA [feat = 79, acc = 0.570]
Rep 66, sep = 2: Witten [feat = 76, acc = 0.500], Arias [feat = 132, acc = 0.505], IF-PCA [feat = 16, acc = 0.660]
Rep 67, sep = 2: Witten [feat = 71, acc = 0.510], Arias [feat = 92, acc = 0.500], IF-PCA [feat = 40, acc = 0.505]
Rep 68, sep = 2: Witten [feat = 76, acc = 0.560], Arias [feat = 100, acc = 0.555], IF-PCA [feat = 24, acc = 0.585]
Rep 69, sep = 2: Witten [feat = 72, acc = 0.500], Arias [feat = 116, acc = 0.505], IF-PCA [feat = 50, acc = 0.555]
Rep 70, sep = 2: Witten [feat = 76, acc = 0.540], Arias [feat = 120, acc = 0.550], IF-PCA [feat = 82, acc = 0.595]
Rep 71, sep = 2: Witten [feat = 72, acc = 0.540], Arias [feat = 112, acc = 0.545], IF-PCA [feat = 85, acc = 0.755]
Rep 74, sep = 2: Witten [feat = 75, acc = 0.505], Arias [feat = 92, acc = 0.505], IF-PCA [feat = 19, acc = 0.520]
Rep 73, sep = 2: Witten [feat = 71, acc = 0.500], Arias [feat = 132, acc = 0.500], IF-PCA [feat = 79, acc = 0.710]
Rep 72, sep = 2: Witten [feat = 80, acc = 0.540], Arias [feat = 132, acc = 0.540], IF-PCA [feat = 87, acc = 0.575]
Rep 75, sep = 2: Witten [feat = 69, acc = 0.575], Arias [feat = 120, acc = 0.575], IF-PCA [feat = 98, acc = 0.715]
Rep 76, sep = 2: Witten [feat = 84, acc = 0.505], Arias [feat = 116, acc = 0.520], IF-PCA [feat = 35, acc = 0.540]
Rep 78, sep = 2: Witten [feat = 81, acc = 0.525], Arias [feat = 96, acc = 0.540], IF-PCA [feat = 61, acc = 0.580]
Rep 77, sep = 2: Witten [feat = 87, acc = 0.510], Arias [feat = 100, acc = 0.510], IF-PCA [feat = 54, acc = 0.515]
Rep 79, sep = 2: Witten [feat = 70, acc = 0.525], Arias [feat = 116, acc = 0.525], IF-PCA [feat = 76, acc = 0.630]
Rep 80, sep = 2: Witten [feat = 83, acc = 0.505], Arias [feat = 104, acc = 0.515], IF-PCA [feat = 100, acc = 0.510]
Rep 81, sep = 2: Witten [feat = 63, acc = 0.510], Arias [feat = 120, acc = 0.500], IF-PCA [feat = 80, acc = 0.665]
Rep 84, sep = 2: Witten [feat = 80, acc = 0.500], Arias [feat = 112, acc = 0.500], IF-PCA [feat = 16, acc = 0.540]
Rep 85, sep = 2: Witten [feat = 76, acc = 0.535], Arias [feat = 108, acc = 0.550], IF-PCA [feat = 48, acc = 0.585]
Rep 86, sep = 2: Witten [feat = 73, acc = 0.500], Arias [feat = 96, acc = 0.500], IF-PCA [feat = 82, acc = 0.520]
Rep 82, sep = 2: Witten [feat = 78, acc = 0.515], Arias [feat = 108, acc = 0.500], IF-PCA [feat = 89, acc = 0.565]
Rep 83, sep = 2: Witten [feat = 78, acc = 0.515], Arias [feat = 100, acc = 0.530], IF-PCA [feat = 19, acc = 0.535]
Rep 87, sep = 2: Witten [feat = 68, acc = 0.525], Arias [feat = 136, acc = 0.555], IF-PCA [feat = 11, acc = 0.645]
Rep 88, sep = 2: Witten [feat = 81, acc = 0.505], Arias [feat = 124, acc = 0.525], IF-PCA [feat = 79, acc = 0.650]
Rep 89, sep = 2: Witten [feat = 82, acc = 0.550], Arias [feat = 108, acc = 0.540], IF-PCA [feat = 78, acc = 0.585]
Rep 90, sep = 2: Witten [feat = 79, acc = 0.550], Arias [feat = 116, acc = 0.545], IF-PCA [feat = 18, acc = 0.565]
Rep 91, sep = 2: Witten [feat = 85, acc = 0.530], Arias [feat = 116, acc = 0.530], IF-PCA [feat = 23, acc = 0.515]
Rep 92, sep = 2: Witten [feat = 82, acc = 0.505], Arias [feat = 96, acc = 0.500], IF-PCA [feat = 10, acc = 0.670]
Rep 93, sep = 2: Witten [feat = 78, acc = 0.515], Arias [feat = 116, acc = 0.515], IF-PCA [feat = 9, acc = 0.640]
Rep 96, sep = 2: Witten [feat = 76, acc = 0.515], Arias [feat = 96, acc = 0.525], IF-PCA [feat = 73, acc = 0.620]
Rep 94, sep = 2: Witten [feat = 77, acc = 0.535], Arias [feat = 88, acc = 0.575], IF-PCA [feat = 51, acc = 0.605]
Rep 97, sep = 2: Witten [feat = 66, acc = 0.510], Arias [feat = 128, acc = 0.525], IF-PCA [feat = 68, acc = 0.740]
Rep 95, sep = 2: Witten [feat = 77, acc = 0.555], Arias [feat = 140, acc = 0.540], IF-PCA [feat = 83, acc = 0.565]
Rep 98, sep = 2: Witten [feat = 78, acc = 0.525], Arias [feat = 100, acc = 0.540], IF-PCA [feat = 57, acc = 0.515]
Rep 99, sep = 2: Witten [feat = 75, acc = 0.505], Arias [feat = 104, acc = 0.500], IF-PCA [feat = 22, acc = 0.675]
Rep 100, sep = 2: Witten [feat = 83, acc = 0.575], Arias [feat = 96, acc = 0.550], IF-PCA [feat = 58, acc = 0.515]
Rep 9, sep = NULL: Witten [feat = 62, acc = 0.500], Arias [feat = 136, acc = 0.505], IF-PCA [feat = 11, acc = 0.995]
Rep 8, sep = NULL: Witten [feat = 69, acc = 0.540], Arias [feat = 144, acc = 0.570], IF-PCA [feat = 17, acc = 0.995]
Rep 1, sep = NULL: Witten [feat = 78, acc = 0.510], Arias [feat = 152, acc = 0.510], IF-PCA [feat = 11, acc = 0.710]
Rep 7, sep = NULL: Witten [feat = 63, acc = 0.525], Arias [feat = 108, acc = 0.510], IF-PCA [feat = 19, acc = 0.800]
Rep 5, sep = NULL: Witten [feat = 74, acc = 0.540], Arias [feat = 124, acc = 0.530], IF-PCA [feat = 64, acc = 0.645]
Rep 3, sep = NULL: Witten [feat = 65, acc = 0.505], Arias [feat = 108, acc = 0.500], IF-PCA [feat = 13, acc = 0.830]
Rep 6, sep = NULL: Witten [feat = 81, acc = 0.560], Arias [feat = 112, acc = 0.560], IF-PCA [feat = 30, acc = 0.645]
Rep 2, sep = NULL: Witten [feat = 78, acc = 0.560], Arias [feat = 96, acc = 0.550], IF-PCA [feat = 34, acc = 0.530]
Rep 4, sep = NULL: Witten [feat = 95, acc = 0.535], Arias [feat = 108, acc = 0.510], IF-PCA [feat = 98, acc = 0.590]
