s,acc
10,0.57625
11,0.64055
12,0.6955
13,0.72105
14,0.74695
15,0.83595
16,0.90075
17,0.9415
18,0.94475
19,0.97245
20,0.9808
21,0.97685
22,0.9835
23,0.9791
24,0.99
25,0.9945
