0.52,0.97,1,1,1
0.5,0.995,1,1,1
0.5,0.99,0.995,1,1
0.5,0.985,0.995,1,1
0.585,0.995,1,1,1
0.525,0.995,0.995,0.995,0.995
0.5,1,1,0.995,0.995
0.5,1,1,1,1
0.5,1,0.995,1,1
0.515,0.98,0.99,0.995,1
0.955,1,1,1,1
0.635,1,1,1,1
0.515,1,1,1,1
0.525,0.995,1,1,1
0.66,1,1,1,1
0.5,0.995,0.995,1,1
0.5,0.995,1,1,1
0.555,0.985,1,1,1
0.5,0.995,1,1,1
0.5,0.995,0.995,1,1
0.5,0.995,1,1,1
0.52,0.995,1,1,1
0.5,0.99,1,1,1
0.675,1,0.995,1,1
0.5,1,1,1,1
0.5,0.965,1,1,1
0.51,0.97,1,1,1
0.52,0.985,1,1,0.995
0.5,0.995,1,1,1
0.5,0.995,1,1,1
0.5,1,1,1,1
0.5,0.99,0.995,1,1
0.505,0.99,0.995,1,1
0.5,0.985,1,1,1
0.5,0.995,0.99,1,1
0.675,0.985,1,1,1
0.53,0.985,0.995,1,1
0.525,0.99,0.99,0.995,1
0.59,0.985,0.995,0.995,1
0.51,0.98,0.99,1,1
0.5,0.99,0.995,1,1
0.5,1,1,1,1
0.5,1,0.99,1,1
0.505,0.99,0.995,1,1
0.505,0.995,0.995,1,1
0.89,0.97,0.99,1,1
0.925,0.995,0.995,1,1
0.52,0.995,1,1,1
0.52,0.995,1,1,1
0.59,0.98,0.99,0.995,1
0.5,1,1,1,1
0.515,0.98,1,1,1
0.65,0.5,1,0.995,1
0.505,0.995,0.995,1,1
0.51,1,0.995,1,1
0.665,0.985,1,1,1
0.5,0.96,1,1,1
0.805,0.985,1,1,1
0.5,0.995,1,1,1
0.955,0.96,1,1,1
0.5,1,1,1,1
0.5,1,1,1,1
0.5,0.98,0.99,1,1
0.6,0.985,0.995,1,1
0.5,0.99,1,1,1
0.525,0.995,1,1,1
0.5,0.985,1,1,1
0.955,0.985,1,1,1
0.67,0.995,1,1,1
0.52,0.985,1,1,1
0.88,0.99,0.995,1,1
0.5,1,1,1,1
0.615,0.985,0.99,1,1
0.515,0.515,0.99,1,1
0.95,0.975,0.99,1,1
0.745,0.98,0.99,0.995,1
0.575,0.995,1,1,1
0.525,0.985,1,1,1
0.695,0.985,1,0.995,1
0.935,0.995,0.99,1,1
0.95,0.995,0.995,1,1
0.5,0.995,0.995,1,1
0.61,1,1,1,1
0.5,0.99,0.995,1,1
0.955,0.99,1,0.995,1
0.525,0.985,1,1,1
0.94,0.99,1,1,1
0.5,0.985,1,1,1
0.505,0.995,1,1,1
0.55,0.995,0.995,1,1
0.505,1,1,1,1
0.5,0.995,1,1,1
0.505,0.985,0.99,1,1
0.505,0.995,1,1,1
0.5,0.995,1,1,1
0.545,1,1,1,1
0.5,0.98,0.995,1,1
0.5,0.98,0.995,1,1
0.505,0.985,1,1,1
0.53,0.99,0.995,1,1
