p,sep,n_reps,mean_acc_witten,sd_acc_witten,mean_acc_arias,sd_acc_arias,mean_acc_ifpca,sd_acc_ifpca,mean_L_ifpca
100,6,1,0.5,NA,0.505,NA,0.515,NA,8
1000,6,100,0.5362,0.055034975,0.8338,0.115579611,0.54135,0.034588891,173.3
2000,6,100,0.5354,0.045085105,0.8063,0.114558044,0.54255,0.034702888,408.69
3000,6,100,0.5344,0.046085559,0.7887,0.132471876,0.5378,0.032476254,566.38
4000,6,100,0.5295,0.022047928,0.7676,0.141472202,0.5384,0.030755471,657.71
5000,6,100,0.52875,0.022834218,0.7746,0.126644097,0.53935,0.029082389,931.47
