"p","sep","n_runs","mean_acc_witten","sd_acc_witten","na_frac_witten","mean_acc_arias","sd_acc_arias","na_frac_arias","mean_acc_ifpca","sd_acc_ifpca","na_frac_ifpca","mean_acc_scvx","sd_acc_scvx","na_frac_scvx","mean_rt_witten","mean_rt_arias","mean_rt_ifpca","mean_rt_scvx","mean_ifpca_L"
500,4,2,NA,NA,1,NA,NA,1,NA,NA,1,0.935,0.0070710678118654,0,NA,NA,NA,115.957816004753,NA
3000,4,10,0.5735,0.140456596696473,0,0.964,0.0112546286774228,0,0.5175,0.0165411943677327,0,0.0215,0.0052967495273569,0,208.498234510422,781.585358643532,6.22132923603058,1053.63139955997,1349.2
6000,4,10,NA,NA,1,NA,NA,1,NA,NA,1,0.583,0.0565292451352002,0,NA,NA,NA,1023.72545559406,NA
9000,4,10,NA,NA,1,NA,NA,1,NA,NA,1,0.563,0.034816981808052,0,NA,NA,NA,1289.93027770519,NA
12000,4,10,NA,NA,1,NA,NA,1,NA,NA,1,0.5225,0.0171998062004586,0,NA,NA,NA,1899.5214687109,NA
