"separation","p","n_reps","mean_accuracy","sd_accuracy","mean_tp","mean_fp","mean_n_selected","mean_recall","mean_precision","mean_runtime"
4,6000,54,0.97212962962963,0.0137567085470659,9.5,2.68518518518519,12.1851851851852,0.95,0.788972627167072,41008.3749971611
4,10000,56,0.970625,0.0131101106021269,9.30357142857143,4.16071428571429,13.4642857142857,0.930357142857143,0.707006020111394,40090.5239565883
4,12000,86,0.964593023255814,0.0492246657221588,9.18604651162791,5.59302325581395,14.7790697674419,0.918604651162791,0.631518056197209,44368.2841301048
4,15000,77,0.95974025974026,0.0542708612806373,8.98701298701299,6.50649350649351,15.4935064935065,0.898701298701299,0.596077892662067,41097.2280243155
4,18000,78,0.966025641025641,0.0157364448855419,8.7051282051282,7.08974358974359,15.7948717948718,0.870512820512821,0.567985700153181,37486.0137796861
4,21000,97,0.953144329896907,0.0645348726288614,8.17525773195876,9.29896907216495,17.4742268041237,0.817525773195876,0.480798809491204,37492.1158061494
4,24000,97,0.958350515463917,0.0295162530216805,8.18556701030928,10.8041237113402,18.9896907216495,0.818556701030928,0.445383367777832,39070.767265047
4,27000,100,0.95465,0.0343574128563519,7.95,12.19,20.14,0.795,0.406304508939795,45108.4984284902
4,30000,100,0.9487,0.060187501638923,7.75,13.38,21.13,0.775,0.380975598649697,41186.8490351129
