"sep","n_runs","mean_acc_witten","sd_acc_witten","mean_rt_witten","mean_acc_arias","sd_acc_arias","mean_rt_arias","mean_acc_ifpca","sd_acc_ifpca","mean_rt_ifpca","mean_L_ifpca"
4,100,0.5371,0.0406461696979077,29.5576684594154,0.5583,0.0675592519589473,29.3512985754013,0.5389,0.0352091872767161,0.575073792934418,92.74
5,100,0.55145,0.069144465221065,29.4239692616463,0.63785,0.127138783233206,29.6451034069061,0.5478,0.0467548949525095,0.491244490146637,91.67
6,62,0.57,0.109364782895157,19.2402796976028,0.812741935483871,0.138778858819378,16.6877917128225,0.554274193548387,0.0539037300193104,0.423757068572506,98.0967741935484
8,20,0.663,0.208701499250661,5.68321241140366,0.9775,0.015,7.22651664018631,0.7395,0.137361413412708,0.0831918120384216,101
9,20,0.82675,0.22578678228061,5.57446032762527,0.988,0.0121828179265546,6.2272498011589,0.81875,0.165417136196249,0.0552062630653381,95.45
10,20,0.94675,0.15030911132519,5.53371883630753,0.9945,0.00455954753064496,5.19772924184799,0.9055,0.117147006161624,0.059376072883606,85.05
11,20,0.998,0.0029912152080806,5.393577003479,0.998,0.00251312344975018,4.1625035405159,0.9485,0.104919768846185,0.0568015813827515,87.55
