"p","sep","n_reps","mean_acc_witten","sd_acc_witten","mean_acc_arias","sd_acc_arias","mean_acc_ifpca","sd_acc_ifpca","mean_L_ifpca"
100,6,1,0.5,NA,0.505,NA,0.515,NA,8
1000,6,100,0.5362,0.0550349751053681,0.8338,0.11557961093829,0.54135,0.0345888914847153,173.3
2000,6,100,0.5354,0.045085104709501,0.8063,0.1145580440412,0.54255,0.0347028875461453,408.69
3000,6,100,0.5344,0.0460855594289446,0.7887,0.132471876184336,0.5378,0.0324762539512652,566.38
4000,6,100,0.5295,0.0220479275922049,0.7676,0.141472201645354,0.5384,0.0307554708937937,657.71
5000,6,100,0.52875,0.0228342180762012,0.7746,0.1266440968728,0.53935,0.0290823890616874,931.47
