"p","sep","n_runs","mean_acc_witten","sd_acc_witten","na_frac_witten","mean_acc_arias","sd_acc_arias","na_frac_arias","mean_acc_ifpca","sd_acc_ifpca","na_frac_ifpca","mean_acc_scvx","sd_acc_scvx","na_frac_scvx","mean_rt_witten","mean_rt_arias","mean_rt_ifpca","mean_rt_scvx","mean_ifpca_L"
500,6,100,NA,NA,1,NA,NA,1,NA,NA,1,0.681352941176471,0.0822937111932667,0.15,NA,NA,NA,25.539621014595,NA
1000,6,100,NA,NA,1,NA,NA,1,NA,NA,1,0.60135,0.0623806132471532,0,NA,NA,NA,109.732702140808,NA
2000,6,100,NA,NA,1,NA,NA,1,NA,NA,1,0.568928571428571,0.0490016305219983,0.02,NA,NA,NA,402.195447804928,NA
3000,6,100,NA,NA,1,NA,NA,1,NA,NA,1,0.55255,0.036163873652801,0,NA,NA,NA,206.529883048534,NA
4000,6,94,NA,NA,1,NA,NA,1,NA,NA,1,0.556636363636364,0.0397335400984383,0.414893617021277,NA,NA,NA,241.876602535552,NA
5000,6,16,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,871.673253327608,NA
