"p","sep","n_runs","mean_acc_witten","sd_acc_witten","na_frac_witten","mean_acc_arias","sd_acc_arias","na_frac_arias","mean_acc_ifpca","sd_acc_ifpca","na_frac_ifpca","mean_acc_scvx","sd_acc_scvx","na_frac_scvx","mean_rt_witten","mean_rt_arias","mean_rt_ifpca","mean_rt_scvx","mean_ifpca_L"
500,6,100,NA,NA,1,NA,NA,1,NA,NA,1,0.673578947368421,0.0963942016163999,0.05,NA,NA,NA,52.104439868927,NA
1000,6,100,NA,NA,1,NA,NA,1,NA,NA,1,0.6011,0.0658341196730944,0,NA,NA,NA,303.629168105125,NA
2000,6,100,NA,NA,1,NA,NA,1,NA,NA,1,0.5648,0.0473271442816761,0,NA,NA,NA,1565.9930114603,NA
3000,6,100,NA,NA,1,NA,NA,1,NA,NA,1,0.55495,0.0420226910806122,0,NA,NA,NA,734.135068936348,NA
4000,6,95,NA,NA,1,NA,NA,1,NA,NA,1,0.551011235955056,0.0359543569183152,0.0631578947368421,NA,NA,NA,486.150979478736,NA
5000,6,14,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,379.841548255512,NA
