p,rho02,rho05,rho08
5000,0.54805,0.55455,0.6457999999999999
6000,0.5435000000000001,0.55135,0.6442
7000,0.5387,0.54235,0.6346
8000,0.5448000000000001,0.5531499999999999,0.6214999999999999
9000,0.5406,0.5413,0.60805
10000,0.5364,0.53735,0.6035999999999999
