p,rho02,rho05,rho08
5000,0.84875,0.8168,0.81805
6000,0.7742,0.76975,0.83105
7000,0.7094,0.72715,0.8341
8000,0.68375,0.69325,0.8308
9000,0.6505,0.66745,0.8213
10000,0.6278,0.64965,0.8137
