p,rho02,rho05,rho08
5000,0.9927000000000001,0.98075,0.8844
6000,0.9883500000000001,0.97625,0.9062
7000,0.9884999999999999,0.97355,0.9201500000000001
8000,0.9834499999999999,0.9736999999999999,0.9295499999999999
9000,0.94965,0.9672000000000002,0.9319999999999999
10000,0.93525,0.9636999999999999,0.93375
