
==========================================
--- Gaussian Known-Covariance Started at 2026-03-31 08:03:13.884671 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 50 ---
[2026-03-31 08:03:29] Rep 39, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 12, acc = 0.980], IF-PCA [feat = 15, acc = 0.695]
[2026-03-31 08:03:29] Rep 33, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 15, acc = 0.985], IF-PCA [feat = 5, acc = 0.765]
[2026-03-31 08:03:29] Rep 43, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 11, acc = 0.975], IF-PCA [feat = 22, acc = 0.915]
[2026-03-31 08:03:29] Rep 44, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 11, acc = 0.980], IF-PCA [feat = 19, acc = 0.930]
[2026-03-31 08:03:29] Rep 41, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 10, acc = 0.975], IF-PCA [feat = 22, acc = 0.725]
[2026-03-31 08:03:29] Rep 36, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 14, acc = 0.990], IF-PCA [feat = 14, acc = 0.690]
[2026-03-31 08:03:29] Rep 42, p = 50: Witten [feat = 50, acc = 0.960], Arias [feat = 14, acc = 0.965], IF-PCA [feat = 23, acc = 0.910]
[2026-03-31 08:03:29] Rep 40, p = 50: Witten [feat = 50, acc = 0.990], Arias [feat = 10, acc = 0.990], IF-PCA [feat = 6, acc = 0.510]
[2026-03-31 08:03:29] Rep 45, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 11, acc = 0.990], IF-PCA [feat = 6, acc = 0.505]
[2026-03-31 08:03:32] Rep 52, p = 50: Witten [feat = 40, acc = 0.970], Arias [feat = 11, acc = 0.990], IF-PCA [feat = 25, acc = 0.880]
[2026-03-31 08:03:32] Rep 50, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 10, acc = 0.980], IF-PCA [feat = 8, acc = 0.795]
[2026-03-31 08:03:32] Rep 48, p = 50: Witten [feat = 46, acc = 0.935], Arias [feat = 10, acc = 0.950], IF-PCA [feat = 20, acc = 0.575]
[2026-03-31 08:03:32] Rep 49, p = 50: Witten [feat = 50, acc = 0.955], Arias [feat = 10, acc = 0.965], IF-PCA [feat = 7, acc = 0.795]
[2026-03-31 08:03:32] Rep 46, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 11, acc = 0.975], IF-PCA [feat = 24, acc = 0.885]
[2026-03-31 08:03:32] Rep 58, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 11, acc = 0.975], IF-PCA [feat = 8, acc = 0.770]
[2026-03-31 08:03:32] Rep 59, p = 50: Witten [feat = 50, acc = 0.960], Arias [feat = 11, acc = 0.970], IF-PCA [feat = 23, acc = 0.950]
[2026-03-31 08:03:32] Rep 47, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 13, acc = 0.975], IF-PCA [feat = 16, acc = 0.565]
[2026-03-31 08:03:32] Rep 54, p = 50: Witten [feat = 37, acc = 0.990], Arias [feat = 12, acc = 0.990], IF-PCA [feat = 20, acc = 0.915]
[2026-03-31 08:03:32] Rep 56, p = 50: Witten [feat = 50, acc = 0.970], Arias [feat = 11, acc = 0.985], IF-PCA [feat = 20, acc = 0.880]
[2026-03-31 08:03:33] Rep 51, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 11, acc = 0.965], IF-PCA [feat = 10, acc = 0.820]
[2026-03-31 08:03:33] Rep 53, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 13, acc = 0.970], IF-PCA [feat = 18, acc = 0.640]
[2026-03-31 08:03:33] Rep 57, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 12, acc = 0.985], IF-PCA [feat = 24, acc = 0.850]
[2026-03-31 08:03:33] Rep 55, p = 50: Witten [feat = 50, acc = 0.940], Arias [feat = 10, acc = 0.955], IF-PCA [feat = 25, acc = 0.900]
[2026-03-31 08:03:33] Rep 60, p = 50: Witten [feat = 50, acc = 0.935], Arias [feat = 10, acc = 0.945], IF-PCA [feat = 9, acc = 0.640]
[2026-03-31 08:03:36] Rep 61, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 14, acc = 0.985], IF-PCA [feat = 25, acc = 0.880]
[2026-03-31 08:03:36] Rep 62, p = 50: Witten [feat = 50, acc = 0.960], Arias [feat = 12, acc = 0.970], IF-PCA [feat = 24, acc = 0.915]
[2026-03-31 08:03:36] Rep 64, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 12, acc = 0.990], IF-PCA [feat = 15, acc = 0.920]
[2026-03-31 08:03:36] Rep 65, p = 50: Witten [feat = 42, acc = 0.970], Arias [feat = 11, acc = 0.975], IF-PCA [feat = 12, acc = 0.505]
[2026-03-31 08:03:36] Rep 73, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 12, acc = 0.985], IF-PCA [feat = 21, acc = 0.920]
[2026-03-31 08:03:36] Rep 63, p = 50: Witten [feat = 50, acc = 0.955], Arias [feat = 14, acc = 0.965], IF-PCA [feat = 13, acc = 0.820]
[2026-03-31 08:03:36] Rep 66, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 14, acc = 0.975], IF-PCA [feat = 21, acc = 0.795]
[2026-03-31 08:03:36] Rep 68, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 14, acc = 0.970], IF-PCA [feat = 14, acc = 0.515]
[2026-03-31 08:03:36] Rep 67, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 11, acc = 0.985], IF-PCA [feat = 24, acc = 0.560]
[2026-03-31 08:03:36] Rep 69, p = 50: Witten [feat = 50, acc = 0.995], Arias [feat = 11, acc = 0.995], IF-PCA [feat = 8, acc = 0.545]
[2026-03-31 08:03:36] Rep 71, p = 50: Witten [feat = 50, acc = 0.960], Arias [feat = 10, acc = 0.960], IF-PCA [feat = 22, acc = 0.785]
[2026-03-31 08:03:36] Rep 74, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 12, acc = 0.980], IF-PCA [feat = 7, acc = 0.740]
[2026-03-31 08:03:36] Rep 75, p = 50: Witten [feat = 50, acc = 0.990], Arias [feat = 11, acc = 0.985], IF-PCA [feat = 9, acc = 0.870]
[2026-03-31 08:03:36] Rep 70, p = 50: Witten [feat = 50, acc = 0.955], Arias [feat = 13, acc = 0.965], IF-PCA [feat = 25, acc = 0.920]
[2026-03-31 08:03:36] Rep 72, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 13, acc = 0.980], IF-PCA [feat = 15, acc = 0.655]
[2026-03-31 08:03:39] Rep 80, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 18, acc = 0.980], IF-PCA [feat = 13, acc = 0.775]
[2026-03-31 08:03:39] Rep 77, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 10, acc = 0.965], IF-PCA [feat = 24, acc = 0.960]
[2026-03-31 08:03:39] Rep 83, p = 50: Witten [feat = 50, acc = 0.970], Arias [feat = 11, acc = 0.975], IF-PCA [feat = 8, acc = 0.830]
[2026-03-31 08:03:39] Rep 79, p = 50: Witten [feat = 47, acc = 0.985], Arias [feat = 10, acc = 0.975], IF-PCA [feat = 11, acc = 0.530]
[2026-03-31 08:03:39] Rep 81, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 17, acc = 0.985], IF-PCA [feat = 12, acc = 0.805]
[2026-03-31 08:03:39] Rep 78, p = 50: Witten [feat = 50, acc = 0.955], Arias [feat = 12, acc = 0.960], IF-PCA [feat = 7, acc = 0.640]
[2026-03-31 08:03:40] Rep 76, p = 50: Witten [feat = 50, acc = 0.960], Arias [feat = 11, acc = 0.950], IF-PCA [feat = 8, acc = 0.520]
[2026-03-31 08:03:40] Rep 84, p = 50: Witten [feat = 50, acc = 0.955], Arias [feat = 10, acc = 0.960], IF-PCA [feat = 21, acc = 0.940]
[2026-03-31 08:03:40] Rep 82, p = 50: Witten [feat = 42, acc = 0.955], Arias [feat = 15, acc = 0.955], IF-PCA [feat = 8, acc = 0.625]
[2026-03-31 08:03:40] Rep 86, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 10, acc = 0.990], IF-PCA [feat = 20, acc = 0.940]
[2026-03-31 08:03:40] Rep 85, p = 50: Witten [feat = 50, acc = 0.970], Arias [feat = 16, acc = 0.975], IF-PCA [feat = 19, acc = 0.875]
[2026-03-31 08:03:40] Rep 88, p = 50: Witten [feat = 50, acc = 0.950], Arias [feat = 11, acc = 0.955], IF-PCA [feat = 12, acc = 0.810]
[2026-03-31 08:03:40] Rep 89, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 10, acc = 0.960], IF-PCA [feat = 7, acc = 0.800]
[2026-03-31 08:03:40] Rep 87, p = 50: Witten [feat = 42, acc = 0.965], Arias [feat = 11, acc = 0.970], IF-PCA [feat = 17, acc = 0.890]
[2026-03-31 08:03:40] Rep 90, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 11, acc = 0.970], IF-PCA [feat = 16, acc = 0.925]
[2026-03-31 08:03:42] Rep 91, p = 50: Witten [feat = 50, acc = 0.970], Arias [feat = 12, acc = 0.965], IF-PCA [feat = 7, acc = 0.760]
[2026-03-31 08:03:42] Rep 92, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 12, acc = 0.980], IF-PCA [feat = 5, acc = 0.555]
[2026-03-31 08:03:42] Rep 93, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 12, acc = 0.975], IF-PCA [feat = 12, acc = 0.640]
[2026-03-31 08:03:42] Rep 95, p = 50: Witten [feat = 50, acc = 0.955], Arias [feat = 12, acc = 0.970], IF-PCA [feat = 8, acc = 0.610]
[2026-03-31 08:03:42] Rep 94, p = 50: Witten [feat = 50, acc = 0.970], Arias [feat = 11, acc = 0.975], IF-PCA [feat = 11, acc = 0.905]
[2026-03-31 08:03:42] Rep 97, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 11, acc = 0.970], IF-PCA [feat = 19, acc = 0.855]
[2026-03-31 08:03:42] Rep 98, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 11, acc = 0.975], IF-PCA [feat = 16, acc = 0.735]
[2026-03-31 08:03:42] Rep 100, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 10, acc = 0.970], IF-PCA [feat = 23, acc = 0.910]
