
==========================================
--- Laplace Known-Covariance Started at 2026-03-31 08:05:12.935097 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 3000 ---
[2026-03-31 08:14:57] Rep 35, p = 3000: Witten [feat = 28, acc = 0.985], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 401, acc = 0.510]
[2026-03-31 08:14:59] Rep 45, p = 3000: Witten [feat = 87, acc = 0.500], Arias [feat = 60, acc = 0.935], IF-PCA [feat = 886, acc = 0.520]
[2026-03-31 08:15:02] Rep 39, p = 3000: Witten [feat = 110, acc = 0.510], Arias [feat = 60, acc = 0.965], IF-PCA [feat = 1494, acc = 0.575]
[2026-03-31 08:15:05] Rep 34, p = 3000: Witten [feat = 259, acc = 0.520], Arias [feat = 60, acc = 0.995], IF-PCA [feat = 971, acc = 0.545]
[2026-03-31 08:15:06] Rep 40, p = 3000: Witten [feat = 10, acc = 0.965], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 789, acc = 0.525]
[2026-03-31 08:15:10] Rep 41, p = 3000: Witten [feat = 63, acc = 0.505], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1403, acc = 0.525]
[2026-03-31 08:15:16] Rep 43, p = 3000: Witten [feat = 75, acc = 0.525], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1252, acc = 0.505]
[2026-03-31 08:15:30] Rep 42, p = 3000: Witten [feat = 125, acc = 0.510], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 1373, acc = 0.500]
[2026-03-31 08:15:33] Rep 44, p = 3000: Witten [feat = 93, acc = 0.550], Arias [feat = 60, acc = 0.965], IF-PCA [feat = 1465, acc = 0.520]
[2026-03-31 08:17:39] Rep 46, p = 3000: Witten [feat = 80, acc = 0.510], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1366, acc = 0.530]
[2026-03-31 08:17:44] Rep 47, p = 3000: Witten [feat = 280, acc = 0.530], Arias [feat = 60, acc = 0.965], IF-PCA [feat = 1181, acc = 0.510]
[2026-03-31 08:18:01] Rep 49, p = 3000: Witten [feat = 31, acc = 0.915], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1302, acc = 0.500]
[2026-03-31 08:18:08] Rep 48, p = 3000: Witten [feat = 85, acc = 0.550], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1374, acc = 0.515]
