"sep","n_runs","mean_witten_acc","sd_witten_acc","mean_arias_acc","sd_arias_acc","mean_witten_runtime","mean_arias_runtime"
4,100,0.5371,0.0406461696979077,0.5583,0.0675592519589473,59.6091919803619,68.7700401687622
5,100,0.55145,0.069144465221065,0.63785,0.127138783233206,64.0163059711456,60.6727676033974
