dim,spec,scvx,ifpca,witten,chime,tvs,arias,greedy_isee
500,,,0.5723,0.5374,,0.912,0.8612,
1000,,,0.5536,0.53325,,0.908,0.8501,
1500,,,0.5423,0.5327,,0.904,0.8297,
2000,,,0.53975,0.5319,,0.897,0.81865,
2500,,,0.5391,0.5287,,0.901,0.8141,
3000,,,0.54005,0.52565,,0.899,0.8121,
3500,,,0.5378,0.5257,,0.901,0.8102,
4000,,,0.5362,0.52645,,0.902,0.80925,
4500,,,0.5382,0.5273,,0.903,0.7976,
5000,,,0.54055,0.52885,,0.904,0.78365,
