dim,spec,scvx,ifpca,witten,chime,tvs,arias,greedy_isee
500,,,0.5356,0.5312,,0.915,0.8823,
1000,,,0.53565,0.53005,,0.911,0.8814,
1500,,,0.5342,0.5392,,0.912,0.8832,
2000,,,0.5315,0.5278,,0.91,0.8848,
2500,,,0.5334,0.5283,,0.909,0.8841,
3000,,,0.5342,0.5277,,0.911,0.8837,
3500,,,0.5324,0.5281,,0.912,0.8812,
4000,,,0.5311,0.52725,,0.911,0.87945,
4500,,,0.5301,0.5262,,0.909,0.8791,
5000,,,0.52955,0.52495,,0.908,0.8788,
