dim,arias,witten,ifpca,chime,greedy_isee,scvx,tvs
50,0.560875,0.552356,0.546112,0.5,0.83,,
100,0.540888,0.53105,0.533565,0.5,0.79386,,
150,0.535431,0.526633,0.529192,0.5,0.79,,
200,0.53202,0.525647,0.527568,0.5,0.77004,,
250,0.530092,0.522774,0.526189,0.5,0.76,,
300,0.528777,0.522154,0.524651,0.5,0.749285,,
350,0.529571,0.521702,0.524381,0.5,0.73,,
400,0.527352,0.52088,0.524102,0.5,0.72,,
