iter,glasso,isee_clean,isee_dirty
0,0.5679000000000001,0.5679000000000001,0.5678999999999997
1,0.5764000000000001,0.5982400000000001,0.5851000000000001
2,0.6103000000000002,0.64874,0.6225
3,0.6441199999999999,0.68852,0.6624200000000003
4,0.66856,0.7245199999999999,0.6909599999999999
5,0.6834200000000002,0.7489,0.7095999999999999
6,0.6937400000000002,0.7679999999999997,0.7286400000000001
7,0.70056,0.7840600000000005,0.7425800000000001
8,0.7126800000000003,0.7968799999999997,0.7531400000000003
9,0.7182600000000001,0.8085600000000004,0.7580400000000002
10,0.7243600000000004,0.8242600000000002,0.7658799999999998
11,0.73162,0.83642,0.7712000000000002
12,0.7340399999999998,0.8457400000000002,0.7770399999999995
13,0.7366000000000003,0.8621199999999999,0.78314
14,0.73664,0.8717999999999999,0.7875599999999997
15,0.7394000000000003,0.8845400000000003,0.7987799999999997
16,0.7395000000000003,0.8933200000000001,0.8009599999999998
17,0.7397400000000001,0.9018399999999995,0.8069999999999996
18,0.7414799999999997,0.9026599999999999,0.8109999999999996
19,0.7426,0.9089600000000003,0.81802
20,0.7433200000000002,0.9105999999999997,0.8262799999999996
21,0.7447199999999998,0.9154599999999999,0.8349199999999999
22,0.7462800000000002,0.9177599999999999,0.8491199999999998
23,0.7477400000000003,0.9200799999999998,0.8591
24,0.7495400000000002,0.9210800000000002,0.8650199999999999
25,0.7527000000000001,0.9221400000000003,0.8700599999999997
26,0.7543200000000003,0.9233599999999997,0.8720799999999997
27,0.75302,0.9231199999999998,0.8761599999999996
28,0.7532799999999998,0.9230999999999996,0.8773799999999996
29,0.7550399999999999,0.9235999999999999,0.8815199999999999
30,0.75434,0.9227199999999998,0.8866600000000001
