dim,spec,arias,ifpca,witten,chime,tvs
1000,0.970590278,0.9386025,0.5567418,0.843395,0.5,0.9773
2000,0.929911765,0.77068,0.5423511,0.6287075,0.5,0.9763
3000,0.861988636,0.67556,0.5370927,0.5722025,0.5,0.97605
4000,0.744473684,0.622135,0.5350877,0.5540825,0.5,0.9755
5000,0.678795812,0.5849875,0.534344344,0.5438825,0.5,0.9696
6000,0.615,0,0,0,0,0.963
7000,0.608,0,0,0,0,0.965
8000,0.57,0,0,0,0,0.961
9000,0.562,0,0,0,0,0.963
10000,0.56,0,0,0,0,0.966
