dim,spec,hc,sdp,noniter,noniter_spec,noniter_hc,arias,ifpca,witten,chime
50,0.973192204,0.970786517,0.973764706,0.973441176,0.972419355,0.906235955,0.9757325,0.7817167,0.9729875,0.642661111
500,0.970307263,0.958547297,0.971243243,0.930675676,0.924413408,0.715472973,0.970195,0.5910807,0.967765,0.5
1000,0.970590278,0.847655367,0.970078534,0.873324607,0.861215278,0.625338983,0.9386025,0.5567418,0.843395,0.5
1500,0.967950311,0.764368132,0.962919075,0.805867052,0.790900621,0.581510989,0.85345,0.5473073,0.7018875,0.5
2000,0.929911765,0.679583333,0.944739884,0.736647399,0.727823529,0.565,0.77068,0.5423511,0.6287075,0.5
2500,0.895,0.629005682,0.905756757,0.689162162,0.682688172,0.557471591,0.709,0.5399349,0.5990075,0.5
3000,0.861988636,0.615767196,0.844664948,0.65056701,0.649886364,0.554391534,0.67556,0.5370927,0.5722025,0.5
3500,0.799088398,0.596346154,0.79130102,0.619821429,0.622237569,0.55293956,0.6414825,0.5371046,0.5601525,0.5
4000,0.744473684,0.577676768,0.757403846,0.60375,0.601289474,0.547878788,0.622135,0.5350877,0.5540825,0.5
4500,0.717868421,0.570839161,0.719143836,0.597226027,0.589868421,0.541258741,0.6011825,0.53347521,0.548525,0.5
5000,0.678795812,0.567010309,0.682487179,0.584025641,0.582486911,0.540927835,0.5849875,0.534344344,0.5438825,0.5
