
==========================================
--- Laplace Unknown-Covariance Started at 2026-04-08 19:12:49 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 500 ---
[2026-04-08 19:15:10] Rep 35, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.535] 
[2026-04-08 19:14:51] Rep 36, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.695] 
[2026-04-08 19:15:08] Rep 37, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.785] 
[2026-04-08 19:15:08] Rep 38, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.725] 
[2026-04-08 19:15:09] Rep 39, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.580] 
[2026-04-08 19:14:56] Rep 40, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.735] 
[2026-04-08 19:15:06] Rep 41, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.735] 
[2026-04-08 19:15:15] Rep 42, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.715] 
[2026-04-08 19:15:12] Rep 43, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.520] 
[2026-04-08 19:15:54] Rep 44, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.680] 
[2026-04-08 19:16:05] Rep 45, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.740] 
[2026-04-08 19:16:02] Rep 46, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.575] 
[2026-04-08 19:16:00] Rep 47, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.680] 
[2026-04-08 19:15:55] Rep 48, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=NA] 
[2026-04-08 19:15:34] Rep 49, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=NA] 
[2026-04-08 19:15:52] Rep 50, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=NA] 
[2026-04-08 19:16:10] Rep 51, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.640] 
[2026-04-08 19:15:49] Rep 52, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.695] 
[2026-04-08 19:15:50] Rep 53, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=NA] 
