p,del3,del4,del5
80,0,0.528,0.5399
160,0.5229,0.5203,0.5284
240,0.5173,0.516,0.5246000000000001
320,0.5132000000000001,0.5092000000000001,0.5159
400,0.5105,0.5090000000000001,0.5126999999999999
