"sep","fdr_target","n_completed","mean_acc","sd_acc","mean_L","mean_empirical_fdr","sd_empirical_fdr","mean_power","sd_power","mean_runtime"
4,0.4,30,0.546666666666667,0.0395302881112814,NA,NA,NA,NA,NA,315.097333333333
5,0.4,30,0.600689655172414,0.0719092202752271,NA,NA,NA,NA,NA,249.624905333519
6,0.4,30,0.740666666666667,0.126195888597254,NA,NA,NA,NA,NA,335.601666666667
