
==========================================
--- Gaussian Known-Covariance Started at 2026-04-02 15:43:16 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 1000 ---
[2026-04-02 15:55:59] Rep 38, p = 1000: Witten [feat = 218, acc = 0.975], Arias [feat = 200, acc = 0.750], IF-PCA [feat = 461, acc = 0.575], SCVX [acc = 0.840]
[2026-04-02 15:56:12] Rep 31, p = 1000: Witten [feat = 225, acc = 0.975], Arias [feat = 40, acc = 0.960], IF-PCA [feat = 264, acc = 0.535], SCVX [acc = 0.870]
[2026-04-02 15:56:16] Rep 32, p = 1000: Witten [feat = 194, acc = 0.970], Arias [feat = 20, acc = 0.975], IF-PCA [feat = 276, acc = 0.505], SCVX [acc = 0.835]
[2026-04-02 15:56:17] Rep 41, p = 1000: Witten [feat = 407, acc = 0.505], Arias [feat = 40, acc = 0.970], IF-PCA [feat = 19, acc = 0.580], SCVX [acc = 0.845]
[2026-04-02 15:56:22] Rep 33, p = 1000: Witten [feat = 110, acc = 0.975], Arias [feat = 80, acc = 0.970], IF-PCA [feat = 499, acc = 0.695], SCVX [acc = 0.910]
[2026-04-02 15:56:27] Rep 35, p = 1000: Witten [feat = 623, acc = 0.975], Arias [feat = 20, acc = 0.970], IF-PCA [feat = 27, acc = 0.515], SCVX [acc = 0.910]
[2026-04-02 15:56:34] Rep 37, p = 1000: Witten [feat = 10, acc = 0.980], Arias [feat = 20, acc = 0.965], IF-PCA [feat = 135, acc = 0.545], SCVX [acc = 0.920]
[2026-04-02 15:56:37] Rep 36, p = 1000: Witten [feat = 68, acc = 0.985], Arias [feat = 20, acc = 0.965], IF-PCA [feat = 127, acc = 0.525], SCVX [acc = NA]
[2026-04-02 15:56:46] Rep 43, p = 1000: Witten [feat = 89, acc = 0.965], Arias [feat = 200, acc = 0.935], IF-PCA [feat = 89, acc = 0.505], SCVX [acc = 0.865]
[2026-04-02 15:56:46] Rep 42, p = 1000: Witten [feat = 444, acc = 0.560], Arias [feat = 20, acc = 0.985], IF-PCA [feat = 30, acc = 0.565], SCVX [acc = 0.890]
[2026-04-02 15:56:47] Rep 40, p = 1000: Witten [feat = 130, acc = 0.980], Arias [feat = 20, acc = 0.975], IF-PCA [feat = 228, acc = 0.630], SCVX [acc = NA]
[2026-04-02 15:57:08] Rep 44, p = 1000: Witten [feat = 356, acc = 0.580], Arias [feat = 200, acc = 0.875], IF-PCA [feat = 399, acc = 0.525], SCVX [acc = 0.865]
[2026-04-02 15:57:21] Rep 45, p = 1000: Witten [feat = 146, acc = 0.520], Arias [feat = 20, acc = 0.965], IF-PCA [feat = 55, acc = 0.525], SCVX [acc = 0.840]
[2026-04-02 15:59:38] Rep 49, p = 1000: Witten [feat = 403, acc = 0.970], Arias [feat = 40, acc = 0.980], IF-PCA [feat = 217, acc = 0.540], SCVX [acc = 0.845]
[2026-04-02 15:59:55] Rep 47, p = 1000: Witten [feat = 511, acc = 0.965], Arias [feat = 80, acc = 0.540], IF-PCA [feat = 280, acc = 0.510], SCVX [acc = 0.785]
[2026-04-02 15:59:56] Rep 50, p = 1000: Witten [feat = 350, acc = 0.975], Arias [feat = 80, acc = 0.505], IF-PCA [feat = 498, acc = 0.700], SCVX [acc = 0.730]
[2026-04-02 16:00:04] Rep 46, p = 1000: Witten [feat = 438, acc = 0.515], Arias [feat = 20, acc = 0.985], IF-PCA [feat = 240, acc = 0.535], SCVX [acc = 0.850]
[2026-04-02 16:00:09] Rep 51, p = 1000: Witten [feat = 499, acc = 0.990], Arias [feat = 20, acc = 0.980], IF-PCA [feat = 417, acc = 0.605], SCVX [acc = 0.930]
[2026-04-02 16:00:15] Rep 53, p = 1000: Witten [feat = 202, acc = 0.975], Arias [feat = 40, acc = 0.985], IF-PCA [feat = 20, acc = 0.565], SCVX [acc = 0.940]
