"p","sep","n_reps","mean_acc_witten","sd_acc_witten","mean_acc_arias","sd_acc_arias","mean_acc_ifpca","sd_acc_ifpca","mean_L_ifpca"
9000,4,25,NA,NA,0.9488,0.0278118679703467,NA,NA,NA
15000,4,25,NA,NA,0.9186,0.0372077500887472,NA,NA,NA
21000,4,25,NA,NA,0.9208,0.0294278779391243,NA,NA,NA
27000,4,25,NA,NA,0.8768,0.0904603964911349,NA,NA,NA
