13,4,6,5,3,3
11,6,9,5,5,5
13,11,17,14,17,18
9,6,5,5,4,4
8,12,13,15,17,17
13,17,19,11,5,8
4,4,4,3,3,3
1,6,13,17,9,3
5,16,16,16,19,5
12,10,3,8,7,5
4,10,12,14,12,15
6,9,12,9,10,6
12,7,6,2,1,2
9,8,7,1,4,5
5,11,7,6,7,7
4,7,10,6,5,7
10,14,13,13,19,17
11,10,8,5,4,3
9,10,15,8,5,7
12,19,15,15,22,15
7,9,7,4,6,5
9,5,8,4,6,6
9,4,8,7,2,2
12,7,5,5,5,5
12,20,21,16,17,17
11,15,19,11,13,13
6,7,4,6,6,8
7,5,3,3,2,2
12,6,10,7,9,9
7,5,7,6,6,3
9,4,3,3,3,3
11,14,11,12,10,8
7,15,12,12,15,16
6,5,11,11,6,5
8,16,14,10,14,14
7,3,4,1,1,1
7,4,6,8,8,6
10,6,4,3,4,4
17,14,18,15,17,18
6,9,10,7,3,3
5,5,6,4,6,7
6,10,9,16,16,21
6,4,4,5,4,5
7,8,10,10,10,8
2,3,6,7,9,9
10,7,6,5,4,4
16,18,18,16,17,16
12,15,10,8,5,5
10,11,6,11,8,9
8,5,8,9,9,9
8,6,4,5,4,4
8,10,12,20,6,6
8,5,5,5,6,6
10,11,13,17,16,17
13,9,12,13,16,3
9,14,12,14,13,16
8,12,17,10,8,8
13,13,5,8,8,8
6,10,2,3,3,3
3,5,5,2,2,1
5,9,16,18,18,16
11,10,14,14,14,22
7,14,14,22,18,15
14,5,7,4,5,8
17,15,11,17,16,16
9,4,9,5,3,3
15,6,7,6,2,1
7,10,11,13,11,11
8,12,4,5,4,3
9,7,4,4,4,3
9,14,16,16,18,16
10,12,5,8,6,4
16,19,25,18,15,14
10,5,3,3,4,5
8,9,7,5,11,9
15,9,9,8,2,3
13,13,10,7,2,3
11,17,14,14,15,20
11,5,4,3,3,3
6,12,11,12,12,4
8,6,4,5,4,4
9,5,2,1,1,1
4,7,7,6,6,8
9,13,12,18,16,7
11,8,7,9,4,4
7,13,15,14,16,16
1,5,11,10,10,12
7,6,6,1,1,3
10,3,5,4,4,3
12,5,6,2,2,2
10,4,4,1,1,1
7,7,7,6,3,2
11,17,13,3,5,7
11,13,13,15,16,18
9,9,5,2,2,4
13,4,4,2,4,3
9,11,16,15,15,17
10,4,3,4,2,3
10,15,5,6,5,4
11,14,18,17,11,4
