p,del3,del4,del5
1500,0.78445,0.7883499999999998,0.77015
3000,0.7186500000000001,0.8066,0.8001999999999999
4500,0.6972,0.7894500000000001,0.8192999999999999
6000,0.6399,0.8154,0.8337000000000002
7500,0.6172500000000001,0.80155,0.83235
9000,0.5922,0.7854499999999999,0.8253000000000001
