p,del3,del4,del5
1500,0.7154499999999999,0.97465,0.9927999999999999
3000,0.5728,0.95045,0.9926999999999999
4500,0.55155,0.8742000000000002,0.99295
6000,0.543,0.7618,0.98835
7500,0.5445000000000001,0.6738,0.9882000000000001
9000,0.5445,0.6359999999999999,0.9481500000000002
