"rep","time","acc","ari","obj","iter"
1,3.33523988723755,0.645,0.0798130385327826,5804.99798129534,1000
2,2.71097588539124,0.51,-0.00457542481758907,5850.44085635428,1000
3,2.77773284912109,0.53,-0.00103595344065776,6013.74119780359,1000
4,2.66469812393188,0.535,-0.000125252461993741,6019.84272472958,1000
5,2.80518102645874,0.52,-0.00340999078817659,6105.31897876205,1000
6,2.59224200248718,0.775,0.299020110387194,5964.48251016867,1000
7,2.7044038772583,0.725,0.198492057519789,5954.17232312514,1000
8,2.85508108139038,0.555,0.00711110751964263,6033.63704863154,1000
9,2.69655013084412,0.78,0.310145876135585,5997.70828628467,1000
10,2.73216390609741,0.525,-0.00249686755238805,5991.88286019477,1000
11,2.76654505729675,0.765,0.2773123460637,5706.96886434973,1000
12,3.07468104362488,0.605,0.0397382886386961,6111.61570662036,1000
13,2.68870782852173,0.64,0.0737753931186062,5769.85982893631,1000
14,2.85129189491272,0.525,-0.00247661632799203,6002.11069578631,1000
15,2.8339900970459,0.735,0.216997183448556,5840.03041883086,1000
16,2.68840885162354,0.695,0.147914504664874,5977.02520105819,1000
17,2.85207986831665,0.76,0.266738852885563,6080.82603798876,1000
18,2.68799614906311,0.715,0.180803606375398,6205.44141674245,1000
19,2.93940401077271,0.655,0.0916123825794667,5873.84004206769,1000
20,2.791827917099,0.54,0.00138383558821094,5901.96732553522,1000
21,2.84684014320374,0.64,0.073837135313878,5776.51449121568,1000
22,2.73607802391052,0.625,0.0578227290150451,5840.8673109294,1000
23,2.88356304168701,0.72,0.189568203626079,5954.36246391519,1000
24,2.55340600013733,0.72,0.189690971520905,5919.51631705258,1000
25,2.72903084754944,0.74,0.22652719445505,6256.30749295436,1000
26,2.76231694221497,0.505,-0.00480333931057529,6235.93804606759,1000
27,2.68757796287537,0.64,0.0737622952309958,6023.77774683361,1000
28,2.67346405982971,0.575,0.0175755356624285,5843.26930691177,1000
29,2.99518799781799,0.7,0.155784863519563,6238.08659009082,1000
30,2.93396592140198,0.8,0.356788467443477,5955.64771527694,1000
31,2.73473596572876,0.655,0.091869205731829,6006.82114794831,1000
32,2.80228710174561,0.745,0.236265592732154,5781.23565861594,1000
33,2.93601298332214,0.67,0.11122131344574,5976.61594693114,1000
34,2.92795300483704,0.565,0.0120471158580465,5864.71522497578,1000
35,4.14912605285645,0.75,0.246250189384374,5939.05225937803,1000
36,4.22627115249634,0.52,-0.00343431568229752,6058.55182556376,1000
37,4.33031296730042,0.505,-0.00492513064070644,6079.39641350244,1000
38,4.25824785232544,0.525,-0.00252522064115358,6083.59961130027,1000
39,3.64960885047913,0.67,0.111135129019941,5837.85567189617,1000
40,3.56097292900085,0.57,0.0146803335649756,5940.19243673567,1000
41,3.50996899604797,0.765,0.277268546834067,6117.01142524492,1000
42,3.91971588134766,0.665,0.1044361316532,6089.88814337689,1000
43,3.7582700252533,0.75,0.246212121212121,5920.44248629065,1000
44,3.8019380569458,0.735,0.216975038193962,6025.39044238684,1000
45,3.68399286270142,0.71,0.172242076278634,5876.72549195108,1000
46,4.51612997055054,0.525,-0.00249686755238805,5902.44895828403,1000
47,4.07763695716858,0.6,0.0352762471114846,5856.31806422353,1000
48,4.08748006820679,0.665,0.104530197360082,6049.28201732422,1000
49,3.69328999519348,0.82,0.406628970382357,6069.58181077227,1000
50,3.19283986091614,0.51,-0.00448411472062149,5813.88758985167,1000
51,4.69542980194092,0.68,0.125219945495941,5948.21336343852,1000
52,3.33953189849854,0.535,-0.000113129884723733,6144.75765025206,1000
53,3.41617798805237,0.745,0.236271764245401,5985.79278536017,1000
54,3.55074715614319,0.7,0.155764397863452,5726.69275130674,1000
55,3.77629804611206,0.715,0.180787057028529,6115.19825764847,1000
56,3.84734702110291,0.69,0.140141323055293,5983.71156099703,1000
57,3.68445897102356,0.57,0.0147201415654619,5973.37565671512,1000
58,4.05370998382568,0.595,0.0313418929667083,6166.07716078967,1000
59,4.13181805610657,0.565,0.0119353475074002,6152.97125422567,1000
60,3.25435900688171,0.675,0.118068627238067,6103.75493345314,1000
61,3.03530192375183,0.58,0.0208053908181568,6283.78917034518,1000
62,4.10668396949768,0.615,0.0482901854762844,6052.11045631885,1000
63,3.43678712844849,0.555,0.00725550664574725,5691.78423330071,1000
64,3.80381393432617,0.585,0.0241378909845988,6115.84936645243,1000
65,3.67858695983887,0.72,0.189527272727273,6053.27017504022,1000
66,4.30044388771057,0.675,0.11814345139228,5926.5456570457,1000
67,5.1336669921875,0.55,0.00524316278243093,6275.02478359567,1000
68,4.32613396644592,0.545,0.00320367634990975,5839.50599390287,1000
69,4.06257891654968,0.595,0.031236221653538,5894.85673866873,1000
70,3.80899500846863,0.59,0.0276388507344505,5894.74041054272,1000
71,3.79207515716553,0.7,0.155772925340751,6082.20975256341,1000
72,3.79134082794189,0.725,0.198505010653605,6097.27680705618,1000
73,3.30376982688904,0.73,0.207632588498391,6026.53087808778,1000
74,4.60708904266357,0.51,-0.0045490446400255,5624.27626936276,1000
75,3.74794483184814,0.555,0.00711110751964263,6126.73141696516,1000
76,4.1447970867157,0.535,-0.000121211570250419,6280.39874255981,1000
77,3.79447507858276,0.53,-0.00123005453443745,5772.48064010709,1000
78,3.5764799118042,0.505,-0.00490889009085996,5926.2580818935,1000
79,3.1183168888092,0.535,0.000242335019076271,6028.10184516229,1000
80,3.37708115577698,0.665,0.1044361316532,5829.39820837951,1000
81,4.22226905822754,0.715,0.180787057028529,5976.36789083674,1000
82,3.87945699691772,0.655,0.091538977853131,5976.00346010832,1000
83,3.7088770866394,0.8,0.356779371688192,5789.23408973512,1000
84,3.68444800376892,0.705,0.163909041552506,6085.09171846687,1000
85,3.41670513153076,0.69,0.140141323055293,5750.36307178474,1000
86,3.54906606674194,0.73,0.207618181818182,5553.74430489256,1000
87,3.60733103752136,0.55,0.00500201009694931,6216.39485260734,1000
88,3.96173906326294,0.65,0.0854945672044586,6360.506930611,1000
89,4.26359295845032,0.595,0.0312557921546385,6252.0262217533,1000
90,3.68998599052429,0.52,-0.00343431568229752,5835.20444560222,1000
91,4.39139604568481,0.505,-0.00494949244975132,6106.19303757691,1000
92,3.48153209686279,0.55,0.00501809058017131,5934.42486587343,1000
93,5.1613450050354,0.6,0.0353093736176504,5570.12189768041,1000
94,4.13750910758972,0.595,0.0312323074584305,5802.05103347411,1000
95,3.64490008354187,0.66,0.0978684891545674,5819.80274259379,1000
96,4.24053192138672,0.66,0.097932271592369,5888.76457956947,1000
97,3.74872398376465,0.745,0.236308791230435,6169.23723426008,1000
98,3.83340311050415,0.63,0.0628928022367632,6159.68579967772,1000
99,3.44857597351074,0.51,-0.00464848484848478,6217.73133240509,1000
100,3.96552896499634,0.67,0.11114949425162,5803.48338100852,1000
