"p","rep","time","acc","ari","objective"
3000,1,5.32501602172852,0.64,0.0738969986729444,7562.12178848264
3000,2,4.59761595726013,0.675,0.118090006863466,7630.89094695048
3000,3,4.87378001213074,0.5,-0.00492057592553692,7690.59930321889
3000,4,4.76629495620728,0.615,0.0481286852438731,7701.54474507452
3000,5,4.64757895469666,0.64,0.0737922327155194,7713.02310253486
3000,6,5.80210304260254,0.79,0.333082167567295,7679.60238858417
3000,7,7.55781197547913,0.76,0.266752184233119,7637.81428677226
3000,8,7.53771114349365,0.68,0.125205807665035,7688.72943159134
3000,9,6.81369304656982,0.8,0.356767676767677,7616.90143078402
3000,10,6.48207998275757,0.535,-0.000125252461993741,7613.36934765736
3000,11,5.94538307189941,0.765,0.277268546834067,7527.56784680011
3000,12,4.96081709861755,0.635,0.0687298753362419,7722.09181902323
3000,13,5.01840114593506,0.67,0.111197973480717,7569.49937156221
3000,14,4.82930612564087,0.55,0.0050502499873743,7647.32399512273
3000,15,4.96091413497925,0.705,0.16391917573757,7567.4321098661
3000,16,5.12264108657837,0.69,0.140122216049694,7693.85010218264
3000,17,4.89107489585876,0.765,0.2773123460637,7692.23011136328
3000,18,5.43778991699219,0.705,0.163898907121764,7786.73936189422
3000,19,8.19004607200623,0.545,0.00311507442492577,7611.5734538049
3000,20,7.86899209022522,0.61,0.0436113282788798,7642.86350133411
3000,21,7.32840490341187,0.685,0.132576394602039,7526.5470053099
3000,22,6.7175600528717,0.73,0.207643793331933,7633.67257096022
3000,23,7.200364112854,0.73,0.20762458485184,7610.61065794417
3000,24,6.71672081947327,0.535,-6.46425142705457e-05,7638.21227964542
3000,25,7.02848196029663,0.745,0.236348899746241,7862.42932221263
3000,26,7.13293385505676,0.56,0.00942422338540731,7827.8620424156
3000,27,7.1574969291687,0.67,0.111133333333333,7679.8177107755
3000,28,7.77128410339355,0.53,-0.00139995474893745,7600.92118181893
3000,29,6.23659801483154,0.69,0.140080525089848,7766.22755475854
3000,30,5.87723207473755,0.8,0.356767676767677,7660.05754304941
4000,1,5.23642015457153,0.5,-0.00504238349589094,9897.83139990019
4000,2,5.67895483970642,0.64,0.0737753931186062,9740.264436494
4000,3,5.39354705810547,0.515,-0.00413328114544014,9958.93604480047
4000,4,6.25505995750427,0.665,0.1044361316532,9935.32146715889
4000,5,7.14994192123413,0.585,0.024035380370803,9937.83069240419
4000,6,7.09685587882996,0.59,0.0275131313131314,9695.83100996099
4000,7,7.37645697593689,0.695,0.14782843650964,9981.12759256694
4000,8,7.37270998954773,0.69,0.140106582413498,9798.20139981341
4000,9,7.36463904380798,0.68,0.125317130714413,9914.71099209239
4000,10,7.09233808517456,0.545,0.00311507442492577,9987.56490301563
4000,11,7.16014909744263,0.52,-0.0033917478915207,9828.61556350083
4000,12,7.26665496826172,0.775,0.298986123912577,10025.1470295647
4000,13,7.61249399185181,0.53,-0.00135949708708058,9927.44259179641
4000,14,7.01264500617981,0.72,0.189586211911861,9795.25105219473
4000,15,7.12484121322632,0.53,-0.00143030014080779,9913.63216890528
4000,16,7.48789095878601,0.61,0.0436016678653102,9851.84855829808
4000,17,7.76068997383118,0.67,0.11114949425162,9951.24609472644
4000,18,7.45862412452698,0.695,0.147818107162572,9882.55510877835
4000,19,7.45881795883179,0.54,0.0014322508964193,9985.51040399974
4000,20,7.61926102638245,0.6,0.0351593118439447,9702.06352486629
4000,21,7.23439002037048,0.585,0.0241378909845988,9881.14463534925
4000,22,7.3409640789032,0.75,0.246266938162073,9912.98609770029
4000,23,7.51676797866821,0.705,0.163902285292643,9991.67290592568
4000,24,7.45449614524841,0.53,-0.00139995474893745,10052.9108475681
4000,25,7.47263884544373,0.57,0.0146982475632543,9846.95057463611
4000,26,6.93773603439331,0.625,0.057845567726795,10086.1719643174
4000,27,7.36982393264771,0.545,0.00311507442492577,9826.01163604918
4000,28,7.55164098739624,0.63,0.0630801858210463,9853.83112074143
4000,29,7.27726888656616,0.555,0.00711110751964263,9879.38500990133
4000,30,7.0353000164032,0.525,-0.00251306912101678,9882.18323193685
5000,1,7.84431982040405,0.54,0.00145443967711434,12031.6658089225
5000,2,7.72602295875549,0.625,0.0577694343813589,12115.252514734
5000,3,7.38606309890747,0.615,0.0482248229367875,11918.468337787
5000,4,6.91629099845886,0.53,-0.00141411570294677,12177.865519799
5000,5,7.53265118598938,0.67,0.111162063448454,12075.3391954069
5000,6,7.24667716026306,0.715,0.180816845371477,12165.9958355395
5000,7,7.36827206611633,0.51,-0.00435630846783971,12051.8554688953
5000,8,7.36884903907776,0.52,-0.00344039709010688,12111.6005833503
5000,9,7.1674280166626,0.675,0.118090006863466,12096.8443287804
5000,10,6.9940710067749,0.725,0.198589195819398,12165.2785141004
5000,11,6.99904990196228,0.545,0.00309493542706121,12252.616976987
5000,12,6.83726406097412,0.635,0.0682746155411715,12152.4119893332
5000,13,7.37164688110352,0.665,0.104403565842378,12129.2747284032
5000,14,8.97009110450745,0.605,0.0392959972202707,12120.6494978381
5000,15,7.96399021148682,0.565,0.0120191761410264,11904.2663417708
5000,16,7.86223912239075,0.57,0.0146664000048484,12154.419552197
5000,17,7.56643795967102,0.585,0.0240550956229443,11870.6539037588
5000,18,7.38205981254578,0.565,0.0121149628779804,11947.5171338954
5000,19,7.43350982666016,0.51,-0.00464036654249259,12210.7027708455
5000,20,7.77372097969055,0.55,0.00533959112949315,12263.3746029734
5000,21,7.06478095054626,0.515,-0.00410488257803599,12075.4915518051
5000,22,7.51961493492126,0.515,-0.00414545245179173,12220.4628723128
5000,23,7.81637406349182,0.73,0.207643793331933,11983.9954866137
5000,24,7.54207706451416,0.52,-0.00334310340996545,12123.4993284921
5000,25,7.3433690071106,0.64,0.0737454545454546,12142.0154548083
5000,26,8.0821259021759,0.615,0.0481171474155821,11877.8646032557
5000,27,7.4648129940033,0.545,0.00310299112384939,11993.363327115
5000,28,7.18967604637146,0.52,-0.00336945191864839,12191.9604369206
5000,29,7.54192304611206,0.625,0.0577694343813589,11888.0486454496
5000,30,7.64093899726868,0.55,0.00500804033906797,12100.4138155618
