"rep","time","acc","ari","obj","iter"
1,3.47466206550598,0.62,0.0532152925306344,6750.78496155617,1000
2,2.7579460144043,0.675,0.118104259371207,6913.51433713555,1000
3,2.85711097717285,0.525,-0.00222152098453772,6896.47783012572,1000
4,2.77800416946411,0.685,0.132639472787183,6977.84505790248,1000
5,2.8533079624176,0.515,-0.00413328114544014,7090.81167417509,1000
6,2.61791014671326,0.775,0.299005949756601,6920.96098078128,1000
7,2.83395385742188,0.73,0.207632588498391,6802.48643535071,1000
8,2.7813549041748,0.625,0.0578227290150451,6974.67945917438,1000
9,2.7177631855011,0.775,0.298980459179731,6812.38105210572,1000
10,2.73997688293457,0.525,-0.00249686755238805,6889.34252646752,1000
11,2.92188501358032,0.76,0.266738852885563,6776.96557633796,1000
12,3.5819730758667,0.62,0.0532707355242567,6938.44837902472,1000
13,4.00190210342407,0.635,0.0682557935761213,6848.62497868588,1000
14,4.01410794258118,0.63,0.0628984816284313,6862.56216131405,1000
15,3.74909210205078,0.73,0.207643793331933,6775.45007076904,1000
16,4.20614719390869,0.695,0.147890407333919,7038.09080871023,1000
17,3.7876570224762,0.76,0.266752184233119,7086.37311642334,1000
18,3.74727702140808,0.715,0.180793676847515,7072.45522544908,1000
19,3.92597889900208,0.655,0.0916123825794667,6917.8073079761,1000
20,4.27329921722412,0.56,0.00942422338540731,7100.71670156777,1000
21,4.49538516998291,0.665,0.1044361316532,6704.89881505611,1000
22,3.64908790588379,0.625,0.0578227290150451,6922.1994418392,1000
23,4.09782195091248,0.715,0.180816845371477,6884.52523261266,1000
24,4.35087299346924,0.72,0.189690971520905,6835.08026643812,1000
25,3.75795602798462,0.74,0.226569380812709,7244.12817175597,1000
26,3.59034419059753,0.55,0.00503216057662778,7323.35025090913,1000
27,3.96263408660889,0.645,0.0794858650774611,7140.52123614639,1000
28,3.82897186279297,0.58,0.020710441682693,6710.15798570436,1000
29,4.03262090682983,0.69,0.140078787878788,7021.98556124874,1000
30,4.44234013557434,0.8,0.356779371688192,7020.70205814378,1000
31,3.75821995735168,0.665,0.104729117410812,6941.8479532485,1000
32,3.49942398071289,0.745,0.236348899746241,6638.75135782242,1000
33,3.0388720035553,0.66,0.097932271592369,7013.49896902137,1000
34,2.85323286056519,0.57,0.0147758673626036,6848.84484298479,1000
35,2.98748707771301,0.77,0.288027975531511,6837.53448966384,1000
36,3.26374387741089,0.52,-0.00343431568229752,6983.24285452218,1000
37,4.25897407531738,0.5,-0.0050322317372007,7029.79881555769,1000
38,3.47957420349121,0.52,-0.00343431568229752,6908.84431615437,1000
39,4.16397309303284,0.665,0.104403565842378,6862.98509388148,1000
40,3.99113202095032,0.575,0.0176231654530203,6973.43110607353,1000
41,3.86882209777832,0.765,0.277268546834067,7141.54825256117,1000
42,3.87006688117981,0.67,0.111162063448454,6947.36565848504,1000
