"rep","time","acc","ari","obj","iter"
1,4.05389285087585,0.62,0.0531158612444056,7563.24330474154,1000
2,3.74230003356934,0.67,0.11114949425162,7631.2043994876,1000
3,4.08646392822266,0.51,-0.00457542481758907,7690.31084951639,1000
4,3.40930891036987,0.615,0.0481286852438731,7701.54474507387,1000
5,3.61150598526001,0.635,0.0682746155411715,7726.84515351668,1000
6,3.35070896148682,0.79,0.333082167567295,7679.60238858218,1000
7,4.65708613395691,0.76,0.266752184233119,7637.81428675239,1000
8,6.31682991981506,0.67,0.111133333333333,7700.60769472715,1000
9,5.23172688484192,0.8,0.356767676767677,7616.90143078592,1000
10,5.54241895675659,0.535,-0.000125252461993741,7613.3693476479,1000
11,6.82543611526489,0.765,0.277268546834067,7527.56784681272,1000
12,6.60443186759949,0.68,0.125347165413336,7728.25381858541,1000
13,6.25858998298645,0.67,0.111197973480717,7569.49937155932,1000
14,5.63751101493835,0.55,0.0050502499873743,7652.78150980631,1000
15,5.49189901351929,0.705,0.16391917573757,7567.43210986268,1000
16,5.68206715583801,0.69,0.140122216049694,7693.85010218048,1000
17,3.97084808349609,0.765,0.2773123460637,7692.23011135415,1000
18,3.9849841594696,0.705,0.163898907121764,7786.73936190751,1000
19,6.01864385604858,0.545,0.00311507442492577,7611.57345380892,1000
20,4.68530607223511,0.61,0.0436113282788798,7642.86350130948,1000
21,5.91190409660339,0.685,0.132576394602039,7526.54700528402,1000
22,5.25824189186096,0.73,0.207643793331933,7633.67257096096,1000
23,8.28415203094482,0.72,0.189528910042606,7613.71132426188,1000
24,5.49274897575378,0.535,-6.46425142705457e-05,7638.21227964693,1000
25,5.57386803627014,0.745,0.236348899746241,7862.42932220354,1000
26,5.07282900810242,0.56,0.00942422338540731,7827.86204241892,1000
27,5.18791198730469,0.67,0.111133333333333,7679.817710777,1000
28,4.98082089424133,0.53,-0.00139995474893745,7600.92118181695,1000
29,6.03638386726379,0.69,0.140080525089848,7766.22755476362,1000
30,6.39748811721802,0.795,0.344807906662673,7664.15154628934,1000
31,4.9399631023407,0.755,0.256366511465352,7678.24739813895,1000
32,4.81318593025208,0.68,0.125205807665035,7511.69530664287,1000
33,5.46184301376343,0.72,0.189607493399643,7659.40362684989,1000
34,4.77278614044189,0.535,9.69481039829219e-05,7620.90290873541,1000
35,5.86601400375366,0.8,0.35677287456263,7608.84035854795,1000
36,5.73488688468933,0.515,-0.00414139531688995,7683.67704333733,1000
37,6.14118885993958,0.515,-0.00414545245179173,7672.74564686151,1000
38,6.11923289299011,0.545,0.00309493542706121,7632.95526972244,1000
39,4.64466595649719,0.63,0.0629211985067149,7566.93647021522,1000
40,4.49597501754761,0.615,0.0481748337601591,7669.443839279,1000
41,4.50776195526123,0.76,0.266721077001398,7759.32301588109,1000
42,5.33185219764709,0.66,0.0978830687926887,7642.67567131212,1000
43,6.18320298194885,0.76,0.266738852885563,7625.8012753064,1000
44,5.77016401290894,0.72,0.189632047573647,7687.8111943522,1000
45,5.05622506141663,0.68,0.125211109405177,7578.32413287633,1000
46,6.6163158416748,0.575,0.0176231654530203,7547.72037088478,1000
47,7.35720109939575,0.61,0.0437871137144012,7568.62332314107,1000
48,4.3081431388855,0.62,0.0529953684346602,7701.94114560975,1000
49,4.17857098579407,0.805,0.368982647440698,7774.73098170719,1000
